Z,N,A,delta_E,movement,stable,boundary_hit,success
13,16,29,190.70667224444333,10.595388232280982,True,True,False
12,30,42,282.1160889369203,20.504345196623397,True,True,False
12,31,43,284.1793051467139,6.840463447741349,True,True,False
13,17,30,198.84633874443352,8.849356842823843,True,True,False
12,32,44,283.97166049087537,8.760681526581958,True,True,False
13,18,31,220.39859317048285,5.726517537625647,True,True,False
13,19,32,195.4663745687485,9.11695095876121,True,True,False
12,33,45,304.4570975673232,6.512361363078161,True,True,False
13,20,33,242.5373955532159,7.663880063867823,True,True,False
13,21,34,239.28448178489816,8.234156276927244,True,True,False
12,34,46,276.0436979417391,8.697137209018821,True,True,False
12,35,47,317.78249541820696,8.070033922268816,True,True,False
13,22,35,230.91316663211546,7.849059146231299,True,True,False
13,23,36,236.4692990691692,9.542291193407866,True,True,False
12,36,48,290.82541994224084,10.637718812967686,True,True,False
13,24,37,240.00144237290442,10.675929697967007,True,True,False
13,27,40,237.72935930587482,8.18469270989519,True,True,True
13,25,38,237.96394418830823,9.994502717212852,True,True,False
13,26,39,250.24981871361888,7.227854002319509,True,True,False
13,28,41,278.3038038905761,8.732414030619243,True,True,False
14,14,28,200.71481689330176,9.370065969589652,True,True,False
14,15,29,203.77676986859296,8.830240706438257,True,True,False
14,18,32,188.84125173852772,9.589910710532278,True,True,True
13,30,43,293.9534034411554,7.354947509515672,True,True,False
13,29,42,263.19104717985465,8.996698367831108,True,True,False
14,16,30,208.09903979380033,6.96469013113551,True,True,False
13,31,44,322.09541331487344,4.808694082128896,True,True,False
14,17,31,210.78361896520073,11.858485086211722,True,True,False
13,32,45,300.41952929168474,9.130398443833041,True,True,False
13,33,46,280.0202566739026,8.28160556893387,True,True,False
13,34,47,311.3518779881342,9.521059489901102,True,True,False
13,35,48,310.9793965683639,7.6311218602496,True,True,False
14,19,33,217.69857118333857,9.59510760486999,True,True,False
14,23,37,225.89092426308707,10.758042065520018,True,True,True
13,36,49,317.8127730482338,7.76431846586602,True,True,False
14,20,34,216.8658892767853,9.43554977663068,True,True,False
14,21,35,229.69154628589604,6.163895872640475,True,True,False
13,38,51,309.2488111037019,9.352378488021373,True,True,False
14,22,36,217.1026637315772,9.53342045920621,True,True,False
13,37,50,274.2211389211552,11.228397223681888,True,True,False
13,39,52,314.56513369254026,11.351431059403387,True,True,False
14,24,38,235.9530766737771,9.668532085862688,True,True,False
14,25,39,256.8524310927605,6.678423576388251,True,True,False
14,26,40,264.6363244443455,7.819852427201484,True,True,False
14,27,41,278.7266698612111,8.609606379101303,True,True,False
14,28,42,283.26751469012015,7.084728020898174,True,True,False
14,29,43,259.80236603949015,9.308879381401804,True,True,False
14,30,44,307.1027883563147,6.72546737060271,True,True,False
14,31,45,285.2053834942599,9.971878835346976,True,True,False
15,15,30,206.01429987230586,10.90699998155649,True,True,False
14,32,46,284.17062082813936,8.454404320662425,True,True,False
15,16,31,204.81946241642618,9.71141646555477,True,True,True
14,33,47,260.9202628078856,10.910038320306823,True,True,False
14,34,48,300.78901043904625,7.357348273708434,True,True,False
15,17,32,198.7148447593445,10.136709081988437,True,True,True
14,35,49,280.67824790902887,9.224700273453488,True,True,False
15,18,33,214.37346997399982,8.028680727794404,True,True,True
14,36,50,315.3762333808263,8.905148202340063,True,True,False
14,37,51,308.56065298766043,9.83072812048852,True,True,False
15,19,34,223.94979007897928,9.641908338446346,True,True,False
14,38,52,370.1144860178247,7.268975254722364,True,True,False
15,20,35,212.78493768609405,8.09133805675195,True,True,True
15,21,36,258.9534406120765,7.60761482026238,True,True,False
14,39,53,341.5204801135078,6.71705524590326,True,True,False
15,22,37,266.45437962752476,8.167581161711414,True,True,False
15,23,38,244.3572035472498,8.91279926132364,True,True,True
14,40,54,335.328412342722,7.606044937174541,True,True,False
14,41,55,311.3490194512451,9.403065406293221,True,True,False
15,24,39,267.8764381779001,8.362593396139692,True,True,False
14,42,56,353.7440650313147,7.18609983836796,True,True,False
15,25,40,263.9005772241835,10.108423684995572,True,True,False
